timestamp,username,real_name,user_id,site,description,visibility,impact, to_reproduce,expected_behavior,configuration,monday_item_id,monday_update_id,monday_item_url, monday_update_url
2021-06-16 15:24:36.363302,chelsea,chelsea,UMDU6FCDT,Platform,sadf,3,4,N/A,asdfas,N/A,1397157612,1053334092,https://databento.monday.com/boards/1029994357/pulses/1397157612,https://databento.monday.com/boards/1029994357/pulses/1397157612/posts/1053334092
2021-06-16 15:24:55.276833,chelsea,chelsea,UMDU6FCDT,Both,sdfas,3,3,N/A,sdfasdfas,N/A,1397158324,1053334594,https://databento.monday.com/boards/1029994357/pulses/1397158324,https://databento.monday.com/boards/1029994357/pulses/1397158324/posts/1053334594
2021-06-17 11:00:47.013174,chelsea,chelsea,UMDU6FCDT,Platform,asdfasd,2,4,N/A,asdfasd,N/A,1400077625,1054445315,https://databento.monday.com/boards/1029994357/pulses/1400077625,https://databento.monday.com/boards/1029994357/pulses/1400077625/posts/1054445315
2021-06-17 17:58:04.344044,siqichen,siqichen,U014B3W8BUJ,Platform,selection chips of format in field section sometimes lose border line,2,1,N/A,instrument detail page - scroll down to fields,N/A,1401562947,1055022267,https://databento.monday.com/boards/1029994357/pulses/1401562947,https://databento.monday.com/boards/1029994357/pulses/1401562947/posts/1055022267
